Home Team;Away Team;Result
Torino;Athletic;Draw
Young Boys;Everton;Loss
Celtic;Internazionale;Draw
Tottenham;Fiorentina;Draw
Liverpool;Beşiktaş;Win
Villarreal;Salzburg;Win
Guingamp;Dynamo Kyiv;Win
Anderlecht;Dinamo Moskva;Draw
Ajax;Legia;Win
Sevilla;Mönchengladbach;Win
Zenit;PSV;Win
Dinamo Moskva;Anderlecht;Win
Internazionale;Celtic;Win
Fiorentina;Tottenham;Win
Beşiktaş;Liverpool;Win
Salzburg;Villarreal;Loss
Dynamo Kyiv;Guingamp;Win
Legia;Ajax;Loss
Mönchengladbach;Sevilla;Loss
Feyenoord;Roma;Loss
Napoli;Trabzonspor;Win
Olympiacos;Dnipro;Draw
Club Brugge;AaB;Win
Sporting CP;Wolfsburg;Draw
Athletic;Torino;Loss
Everton;Young Boys;Win
Zenit;Torino;Win
Club Brugge;Beşiktaş;Win
Wolfsburg;Internazionale;Win
Dnipro;Ajax;Win
Fiorentina;Roma;Draw
Napoli;Dinamo Moskva;Win
Villarreal;Sevilla;Loss
Everton;Dynamo Kyiv;Win
Dinamo Moskva;Napoli;Draw
Roma;Fiorentina;Loss
Dynamo Kyiv;Everton;Win
Beşiktaş;Club Brugge;Loss
Sevilla;Villarreal;Win
Internazionale;Wolfsburg;Loss
Torino;Zenit;Win
Ajax;Dnipro;Win
Wolfsburg;Napoli;Loss
Dynamo Kyiv;Fiorentina;Draw
Club Brugge;Dnipro;Draw
Sevilla;Zenit;Win
Napoli;Wolfsburg;Draw
Fiorentina;Dynamo Kyiv;Win
Dnipro;Club Brugge;Win
Zenit;Sevilla;Draw
Sevilla;Fiorentina;Win
Napoli;Dnipro;Draw
Fiorentina;Sevilla;Loss
Dnipro;Napoli;Win
Dnipro;Sevilla;Loss
Krasnodar;Slovan Bratislava;Win
Altach;Vitória SC;Win
AIK;Atromitos;Loss
Thun;Vaduz;Draw
AZ;İstanbul Başakşehir;Win
Žilina;Vorskla;Win
Zürich;Dinamo Minsk;Loss
Brøndby;Omonia;Draw
Rabotnicki;Trabzonspor;Win
Kukës;Legia;Loss
Debrecen;Rosenborg;Loss
Tîrgu Mureş;St-Étienne;Loss
Standard Liège;Željezničar;Win
Charleroi;Zorya;Loss
Bordeaux;AEK Larnaca;Win
Athletic;Keşla;Win
West Ham;Astra;Draw
Hajduk Split;Strømsgodset;Win
Sampdoria;Vojvodina;Loss
Belenenses;Göteborg;Win
Wolfsberg;Dortmund;Loss
Southampton;Vitesse;Win
Omonia;Brøndby;Draw
Keşla;Athletic;Draw
Gabala;Apollon;Win
Rubin;Sturm;Draw
Strømsgodset;Hajduk Split;Loss
Trabzonspor;Rabotnicki;Draw
H. Kiryat Shmona;Liberec;Loss
Odd;Elfsborg;Win
Göteborg;Belenenses;Draw
Rosenborg;Debrecen;Win
İstanbul Başakşehir;AZ;Loss
Vorskla;Žilina;Win
Dinamo Minsk;Zürich;Draw
Vaduz;Thun;Draw
AEK Larnaca;Bordeaux;Loss
København;Jablonec;Loss
Astra;West Ham;Win
Željezničar;Standard Liège;Loss
Atromitos;AIK;Win
Vitesse;Southampton;Loss
Zorya;Charleroi;Win
St-Étienne;Tîrgu Mureş;Loss
Spartak Trnava;PAOK;Draw
Slovan Bratislava;Krasnodar;Draw
Dortmund;Wolfsberg;Win
Aberdeen;Kairat;Draw
Legia;Kukës;Win
Vojvodina;Sampdoria;Loss
Vitória SC;Altach;Loss
Astra;AZ;Win
Gabala;Panathinaikos;Draw
Dinamo Minsk;Salzburg;Win
Sparta Praha;Thun;Win
Krasnodar;HJK;Win
Liberec;Hajduk Split;Win
PAOK;Brøndby;Win
Molde;Standard Liège;Win
Ajax;Jablonec;Win
Zorya;Legia;Loss
Milsami;St-Étienne;Draw
Atromitos;Fenerbahçe;Loss
Rabotnicki;Rubin;Draw
Young Boys;Qarabağ;Loss
FCSB;Rosenborg;Loss
Žilina;Athletic;Win
Odd;Dortmund;Loss
Bordeaux;Kairat;Win
Altach;Belenenses;Loss
Plzeň;Vojvodina;Win
Southampton;Midtjylland;Draw
Lech;Vidi;Win
Kairat;Bordeaux;Win
Rubin;Rabotnicki;Win
Qarabağ;Young Boys;Win
Jablonec;Ajax;Draw
HJK;Krasnodar;Draw
Vidi;Lech;Loss
Thun;Sparta Praha;Draw
St-Étienne;Milsami;Win
